Name,License Type,License Status,Phone Number,Address Number and Street,Address Line,City,State,ZIP,County,Named Individual #1,Named Individual #2
SMOG EXPRESS,SMOG STATION - TEST ONLY,VALID,(949) 916-8700,22972 PACIFIC PARK DR SUITE C,Null,ALISO VIEJO,CA,92656-0000,ORANGE COUNTY," SINNO, LINA K",null
SMOG GUYS,SMOG STATION - TEST ONLY,VALID,(949) 643-1630,26996 LAPAZ RD,Null,ALISO VIEJO,CA,92656-3040,ORANGE COUNTY," DANESH, SHAHRAZ",null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
FAMILY AUTO SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(619) 445-1444,2417 ALPINE BLVD,Null,ALPINE,CA,91901,SAN DIEGO COUNTY,null,null
ALPINE BLVD 76,SMOG STATION - TEST & REPAIR,CANCELLED,(619) 659-3267,2232 ALPINE BLVD,Null,ALPINE,CA,91901-0000,SAN DIEGO COUNTY,null,null
FAMILY AUTO SERVICE,SMOG STATION - TEST & REPAIR,VALID,(520) 229-9380,2417 ALPINE BLVD,Null,ALPINE,CA,91901,SAN DIEGO COUNTY," KNELLER, FRANK","BAER, BRIAN"
FAMILY AUTO SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(619) 445-1444,2417 ALPINE BLVD,Null,ALPINE,CA,91901,SAN DIEGO COUNTY,null,null
PINE VALLEY AUTO REPAIR INC,SMOG STATION - TEST & REPAIR,VALID,(619) 445-9336,2556 ALPINE BLVD,Null,ALPINE,CA,91901-0000,SAN DIEGO COUNTY," DELRIO, JOSE L","DELRIO, MARIA E"
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
AC TUNE UP,SMOG STATION - TEST & REPAIR,REVOKED,(626) 791-0605,2645 FAIROAKS,Null,ALTADENA,CA,91001-5068,LOS ANGELES COUNTY," FOX, SERGIO",null
ALPHA SMOG AND TEST ONLY INC,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 797-1050,15 W WOODBURY RD,Null,ALTADENA,CA,91001-0000,LOS ANGELES COUNTY," MIRZAKHANIAN, ALEXANDRA","MIRZAKHANIAN, OLICE"
ALPHA SMOG AND TEST ONLY INC,SMOG STATION - TEST ONLY,CANCELLED,(626) 797-1050,15 W WOODBURY RD,Null,ALTADENA,CA,91001-0000,LOS ANGELES COUNTY,null,null
ALTADENA CHEVRON,SMOG STATION - TEST & REPAIR,VALID,(626) 794-8181,907 E ALTADENA DR,Null,ALTADENA,CA,91001-2033,LOS ANGELES COUNTY," FAKHOURI, ANWAR","FAKHOURI, FAWZI"
D & R AUTO PARTS & REPAIR,SMOG STATION - TEST & REPAIR,VALID,(626) 296-3939,26 E WOODBURY RD,Null,ALTADENA,CA,91001-5724,LOS ANGELES COUNTY," BERUMEN, DAVID","BERUMEN, OLGA D"
EMISSION TEST CENTER ALTADENA,SMOG STATION - TEST ONLY,VALID,(626) 798-6075,2171 N FAIR OAKS AVE,Null,ALTADENA,CA,91001,LOS ANGELES COUNTY," BROD, SPENCER GRANT",null
L & J SMOG SERVICE,SMOG STATION - TEST ONLY,VALID,(626) 296-6843,2645 N FAIR OAKS AVE,Null,ALTADENA,CA,91001-0000,LOS ANGELES COUNTY," RIZO, ANGEL ANTONIO",null
L & J SMOG SERVICE,SMOG STATION - TEST & REPAIR,CANCELLED,(626) 296-6843,2645 N FAIR OAKS AVE,Null,ALTADENA,CA,91001-0000,LOS ANGELES COUNTY," RIZO, ANGEL ANTONIO",null
PURRFECT AUTO SERVICE,SMOG STATION - TEST & REPAIR,REVOKED,(626) 398-4449,2095 N LAKE AVE,Null,ALTADENA,CA,91001-2453,LOS ANGELES COUNTY," BROWN, TERESA C",null
S&A TEST ONLY CENTER,SMOG STATION - TEST ONLY,VALID,(626) 798-0178,3081 N LINCOLN AVE,Null,ALTADENA,CA,91001-0000,LOS ANGELES COUNTY," PINEDA, LUIS A",null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
WARNER MOUNTAIN SMOG,SMOG STATION - TEST ONLY,VALID,(530) 640-3424,529 WOOD DUCK LN,Null,ALTURAS,CA,96101,MODOC COUNTY," GRIMME, TARA A",null
WARNER MOUNTAIN SMOG,SMOG STATION - TEST ONLY,VALID,(530) 640-3424,529 WOOD DUCK LN,Null,ALTURAS,CA,96101,MODOC COUNTY," GRIMME, TARA A",null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
"A & JOHN BODY, PAINT & SMOG CHECK",SMOG STATION - TEST ONLY,CANCELLED,(714) 774-0400,130 W ELM ST,Null,ANAHEIM,CA,92805-3805,ORANGE COUNTY," DINH, JOHN THACH",null
76 SMOG CENTER,SMOG STATION - TEST & REPAIR,VALID,(714) 999-0370,2210 W LINCOLN AVE,Null,ANAHEIM,CA,92801,ORANGE COUNTY," BATARSEH, MICHAEL ISSA",null
"A & JOHN BODY, PAINT & SMOG CHECK",SMOG STATION - TEST & REPAIR,CANCELLED,(714) 774-0400,130 W ELM ST,Null,ANAHEIM,CA,92805-3805,ORANGE COUNTY," DINH, JOHN THACH",null
"A & JOHN BODY, PAINT & SMOG CHECK",SMOG STATION - TEST ONLY,CANCELLED,(714) 774-0400,130 W ELM ST,Null,ANAHEIM,CA,92805-3805,ORANGE COUNTY," DINH, JOHN THACH",null
"A & JOHN BODY, PAINT & SMOG CHECK",SMOG STATION - TEST & REPAIR,CANCELLED,(714) 774-0400,130 W ELM ST,Null,ANAHEIM,CA,92805-3805,ORANGE COUNTY," DINH, JOHN THACH",null
ACE SMOG OF ANAHEIM,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 484-0110,10578 MAGNOLIA AVE,Null,ANAHEIM,CA,92804,ORANGE COUNTY,null,null
A & R SMOG,SMOG STATION - TEST ONLY,CANCELLED,(714) 920-8541,1650 W LINCOLN AVE #102,Null,ANAHEIM,CA,92801,ORANGE COUNTY,null,null
ACE SMOG OF ANAHEIM,SMOG STATION - TEST ONLY,DELINQUENT,(714) 484-0110,10578 MAGNOLIA AVE,Null,ANAHEIM,CA,92804-0000,ORANGE COUNTY," MALIK, MUHAMMAD A","MALIK, ESTHER"
ACE SMOG OF ANAHEIM,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 484-0110,10578 MAGNOLIA AVE,Null,ANAHEIM,CA,92804,ORANGE COUNTY,null,null
ACE SMOG OF ANAHEIM,SMOG STATION - TEST ONLY,DELINQUENT,(714) 484-0110,10578 MAGNOLIA AVE,Null,ANAHEIM,CA,92804-0000,ORANGE COUNTY," MALIK, MUHAMMAD A","MALIK, ESTHER"
AD TEST ONLY,SMOG STATION - TEST ONLY,CANCELLED,(714) 637-3567,3905 RIVERDALE AVE,Null,ANAHEIM,CA,92807,ORANGE COUNTY,null,null
AMBASSADOR AUTOMOTIVE INC,SMOG STATION - TEST & REPAIR,VALID,(714) 970-2525,4730 EAST WESLEY DR,Null,ANAHEIM,CA,92807-0000,ORANGE COUNTY," NELSON, MARUKYN","NELSON, MARILYN J"
ANA AUTO LUBE N TUNE,SMOG STATION - TEST & REPAIR,VALID,(714) 533-0741,501 SOUTH STATE COLLEGE BLVD,Null,ANAHEIM,CA,92806-0000,ORANGE COUNTY," BHATTY, UZMA",null
ANA AUTO LUBE N TUNE INC,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 533-0741,501 S STATE COLLEGE BLVD,Null,ANAHEIM,CA,92806,ORANGE COUNTY," LEE, KI WON",null
ANAHEIM 5 STAR SMOG,SMOG STATION - TEST ONLY,VALID,(714) 905-9900,1650 WEST LINCOLN AVE # 102,Null,ANAHEIM,CA,92801-0000,ORANGE COUNTY," ELSAYED, AHMAD JAWAD",null
ANAHEIM AUTOMOTIVE,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 630-4533,2800 EAST LINCOLN AVE,Null,ANAHEIM,CA,92806,ORANGE COUNTY,null,null
ANAHEIM HILLS CAR WASH & LUBE,SMOG STATION - TEST & REPAIR,DELINQUENT,(714) 777-6605,5814 E LA PALMA AVE,Null,ANAHEIM,CA,92807-2247,ORANGE COUNTY," AHN, JAEDUK",null
ANAHEIM HILLS SERVICE CENTER,SMOG STATION - TEST & REPAIR,VALID,(714) 998-3501,400 SOUTH ANAHEIM HILLS RD,Null,ANAHEIM,CA,92807-0000,ORANGE COUNTY," NOBLE, MICHAEL JAMES",null
ANAHEIM HILLS SERVICE CENTER,SMOG STATION - TEST & REPAIR,VALID,(714) 998-3501,400 SOUTH ANAHEIM HILLS RD,Null,ANAHEIM,CA,92807-0000,ORANGE COUNTY," NOBLE, MICHAEL JAMES",null
ANAHEIM LINCOLN MERCURY,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 533-5100,1221 S AUTO CENTER DRIVE,Null,ANAHEIM,CA,92806-5634,ORANGE COUNTY," BRITTSAN, LAUREN O","LAVERTY, SUSAN A"
ANAHEIM LINCOLN MERCURY,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 533-5100,1221 S AUTO CENTER DRIVE,Null,ANAHEIM,CA,92806,ORANGE COUNTY," WILLIAMS, JAMES","BOAZ, JAMES K"
ANAHEIM SERVICE STATION,SMOG STATION - TEST & REPAIR,VALID,(714) 774-4933,300 S EAST ST,Null,ANAHEIM,CA,92805-0000,ORANGE COUNTY," MORALES, GABRIEL A","MENDEZ, PEDRO L"
ANAHEIM SMOG,SMOG STATION - TEST ONLY,VALID,(714) 991-7364,1202 E. LINCOLN AVE,Null,ANAHEIM,CA,92805-0000,ORANGE COUNTY," ALONSO, ANGEL",null
ANAHEIM SMOG CHECK,SMOG STATION - TEST ONLY,VALID,(714) 761-3777,3180 W LINCOLN #B,Null,ANAHEIM,CA,92801-0000,ORANGE COUNTY," ABSEH, ZACK",null
ANAHEIM SMOG REPAIR,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 797-4848,1631 PLACENTIA AVE UNIT R,Null,ANAHEIM,CA,92806-0000,ORANGE COUNTY,null,null
ANAHEIM STAR SMOG,SMOG STATION - TEST ONLY,CANCELLED,(626) 788-0462,1650 WEST LINCOLN AVE # 102,Null,ANAHEIM,CA,92801,ORANGE COUNTY,null,null
76 SMOG CENTER,SMOG STATION - TEST & REPAIR,VALID,(714) 999-0370,2210 W LINCOLN AVE,Null,ANAHEIM,CA,92801,ORANGE COUNTY," BATARSEH, MICHAEL ISSA",null
ANAHEIM TEST ONLY CENTER,SMOG STATION - TEST ONLY,CANCELLED,(714) 761-3777,3180 W LINCOLN #B,Null,ANAHEIM,CA,92801-0000,ORANGE COUNTY,null,null
ARGUS AUTOMOTIVE CENTER,SMOG STATION - TEST & REPAIR,DELINQUENT,(714) 827-5500,10578 MAGNOLIA AVE,Null,ANAHEIM,CA,92804-5817,ORANGE COUNTY," MATTA, ELIAS IBRAHIM",null
ARTS EXXON CERTIFIED AUTO REPAIR,SMOG STATION - TEST & REPAIR,REVOKED,(714) 630-0991,2791 E LINCOLN,Null,ANAHEIM,CA,92806-3901,ORANGE COUNTY," AHMAD, HEIDARY",null
ATLAS SMOG CENTER,SMOG STATION - TEST ONLY,VALID,(714) 441-1369,1636 N LEMON ST,Null,ANAHEIM,CA,92801-0000,ORANGE COUNTY," ARIAS, LIDIA",null
AUTO CHEK CENTERS INC,SMOG STATION - TEST ONLY,VALID,(714) 870-7664,2000 E ORANGETHORPE,Null,ANAHEIM,CA,92806,ORANGE COUNTY," FUCHS, RICHARD J","FUCHS, RICHARD G"
AUTO REPAIR SHOP LAPALMA,SMOG STATION - TEST & REPAIR,VALID,(714) 758-1475,3116 WEST LINCOLN AVE,Null,ANAHEIM,CA,92801,ORANGE COUNTY,null,null
B & J AUTO REPAIR,SMOG STATION - TEST & REPAIR,REVOKED,(714) 535-5819,601 S ANAHEIM BL #B,Null,ANAHEIM,CA,92805-4702,ORANGE COUNTY," AGNELLO, JUSTIN",null
BEDARD AUTOMOTIVE INC,SMOG STATION - TEST & REPAIR,VALID,(714) 528-1380,3601 EAST MIRALOMA AVE,Null,ANAHEIM,CA,92806-2106,ORANGE COUNTY," BEDARD, CHARLES II","BEDARD, PAMELA"
BEST AUTO CARE,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 956-3500,1107 N BROOKHURST ST,Null,ANAHEIM,CA,92801,ORANGE COUNTY," MERHI, SALIM N",null
BEST SMOG,SMOG STATION - TEST ONLY,CANCELLED,(714) 484-0110,10578 MAGNOLIA AVENUE,Null,ANAHEIM,CA,92804,ORANGE COUNTY," BAEK, YONG HO",null
BRIGHT SIDE AUTO CENTER,SMOG STATION - TEST ONLY,CANCELLED,(714) 774-5623,1505 N STATE COLLEGE BLVD,Null,ANAHEIM,CA,92806,ORANGE COUNTY," ROPER, RICHARD S",null
CHAPMAN AUTO REPAIR INC,SMOG STATION - TEST & REPAIR,CANCELLED,(714) 750-6505,450 W WILKEN WAY #D,Null,ANAHEIM,CA,92802-0000,ORANGE COUNTY,null,null
